
2025/02/14 (09:22:20) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme
2025/02/14 (09:24:58) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/flat-remix.theme
2025/02/14 (09:24:58) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-storm.theme
2025/02/14 (09:24:58) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/night-owl.theme
2025/02/14 (09:24:58) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/monokai.theme
2025/02/14 (09:24:59) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/night-owl.theme
2025/02/14 (09:24:59) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-storm.theme
2025/02/14 (09:24:59) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/flat-remix.theme
2025/02/14 (09:25:01) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme
2025/02/14 (09:25:23) | DEBUG: Writing new config file
2025/02/14 (09:25:23) | INFO: Quitting! Runtime: 00:12:37

2025/02/14 (09:25:24) | ===> btop++ v.1.4.0
2025/02/14 (09:25:24) | INFO: Logger set to DEBUG
2025/02/14 (09:25:24) | WARNING: Failed to set locale UTF-8 continuing anyway.
2025/02/14 (09:25:24) | INFO: Running on /dev/ttys000
2025/02/14 (09:25:24) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/02/14 (09:25:24) | DEBUG: M1 sensors found
2025/02/14 (09:25:24) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme
2025/02/14 (09:25:25) | INFO: Quitting! Runtime: 00:00:01

2025/02/14 (09:25:29) | ===> btop++ v.1.4.0
2025/02/14 (09:25:29) | INFO: Logger set to DEBUG
2025/02/14 (09:25:29) | WARNING: Failed to set locale UTF-8 continuing anyway.
2025/02/14 (09:25:29) | INFO: Running on /dev/ttys000
2025/02/14 (09:25:29) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/02/14 (09:25:29) | DEBUG: M1 sensors found
2025/02/14 (09:25:29) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme
2025/02/14 (09:26:49) | INFO: Quitting! Runtime: 00:01:20

2025/02/18 (12:34:09) | ===> btop++ v.1.4.0
2025/02/18 (12:34:09) | INFO: Logger set to DEBUG
2025/02/18 (12:34:09) | DEBUG: Using locale ru_RU.UTF-8
2025/02/18 (12:34:09) | INFO: Running on /dev/ttys000
2025/02/18 (12:34:09) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/02/18 (12:34:09) | DEBUG: M1 sensors found
2025/02/18 (12:34:09) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme

2025/06/14 (06:36:43) | ===> btop++ v.1.4.0
2025/06/14 (06:36:43) | INFO: Logger set to DEBUG
2025/06/14 (06:36:43) | DEBUG: Using locale ru_RU.UTF-8
2025/06/14 (06:36:43) | INFO: Running on /dev/ttys000
2025/06/14 (06:36:43) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/06/14 (06:36:43) | DEBUG: M1 sensors found
2025/06/14 (06:36:43) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme

2025/06/14 (12:46:07) | ===> btop++ v.1.4.0
2025/06/14 (12:46:07) | INFO: Logger set to DEBUG
2025/06/14 (12:46:07) | DEBUG: Using locale ru_RU.UTF-8
2025/06/14 (12:46:07) | INFO: Running on /dev/ttys002
2025/06/14 (12:46:07) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/06/14 (12:46:07) | DEBUG: M1 sensors found
2025/06/14 (12:46:07) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme
2025/06/14 (12:46:10) | INFO: Quitting! Runtime: 00:00:03
